Year;Factor;0.4;5.9;10.14;15.19;20.24;25.29;30.34;35.39;40.44;45.49;50.54;55.59;60.64;65.69;70.74;75.79;80 and over;Total
2006;Male;18;2;1;10;8;6;6;7;15;22;24;33;33;43;75;81;182;566
2006;Female;16;1;0;5;3;2;3;7;12;8;13;30;25;34;48;59;273;539
2006;Total;34;3;1;15;11;8;9;14;27;30;37;63;58;77;123;140;455;1105
2007;Male;19;2;0;4;10;4;8;9;5;19;29;32;46;73;81;88;214;643
2007;Female;19;2;1;1;0;1;4;3;6;10;21;27;39;31;41;69;252;527
2007;Total;38;4;1;5;10;5;12;12;11;29;50;59;85;104;122;157;466;1170
2008;Male;23;2;1;6;5;7;3;9;12;20;30;44;49;77;75;97;231;691
2008;Female;13;1;1;5;3;0;2;8;6;9;14;29;36;38;50;75;296;586
2008;Total;36;3;2;11;8;7;5;17;18;29;44;73;85;115;125;172;527;1277
2009;Male;13;1;2;8;6;9;6;9;18;22;35;29;53;72;78;113;221;695
2009;Female;19;1;2;5;1;1;2;12;5;13;19;20;33;40;58;78;280;589
2009;Total;32;2;4;13;7;10;8;21;23;35;54;49;86;112;136;191;501;1284
2010;Male;25;1;1;5;1;5;6;6;9;16;29;31;48;52;74;99;228;636
2010;Female;20;0;0;3;1;4;0;2;14;16;26;29;47;47;48;68;313;638
2010;Total;45;1;1;8;2;9;6;8;23;32;55;60;95;99;122;167;541;1274
2011;Male;15;0;2;8;6;2;7;4;12;19;35;48;57;65;111;102;267;760
2011;Female;10;0;0;1;3;1;1;6;9;9;16;32;36;44;65;70;327;630
2011;Total;25;0;2;9;9;3;8;10;21;28;51;80;93;109;176;172;594;1390
2012;Male;27;2;4;11;2;3;3;6;9;13;28;38;45;69;109;91;286;746
2012;Female;18;0;1;5;4;1;4;6;8;11;15;23;31;48;56;64;340;635
2012;Total;45;2;5;16;6;4;7;12;17;24;43;61;76;117;165;155;626;1381
2013;Male;19;1;0;5;6;4;4;6;12;20;26;38;48;75;93;103;280;740
2013;Female;12;0;1;2;3;5;6;3;4;8;17;25;36;43;52;78;331;626
2013;Total;31;1;1;7;9;9;10;9;16;28;43;63;84;118;145;181;611;1366
