"Year","Factor","0.4","5.9","10.14","15.19","20.24","25.29","30.34","35.39","40.44","45.49","50.54","55.59","60.64","65.69","70.74","75.79","80 and over","Total","Dep06"
1996,"Male",14,2,0,6,2,6,6,8,10,0,22,22,38,78,70,0,0,284,56
1996,"Female",6,0,0,0,2,4,4,6,2,10,20,8,32,28,30,0,0,152,56
1996,"Total",20,2,0,6,4,10,10,14,12,10,42,30,70,106,100,0,0,436,56
1997,"Male",14,0,2,2,4,6,14,8,2,14,10,16,36,54,74,0,0,256,56
1997,"Female",10,0,2,6,2,0,4,2,4,10,12,18,12,40,52,0,0,174,56
1997,"Total",24,0,4,8,6,6,18,10,6,24,22,34,48,94,126,0,0,430,56
1998,"Male",2,2,0,2,2,12,2,8,6,4,16,22,30,66,86,0,0,260,56
1998,"Female",6,0,2,0,0,0,4,6,12,4,14,16,14,32,60,0,0,170,56
1998,"Total",8,2,2,2,2,12,6,14,18,8,30,38,44,98,146,0,0,430,56
1999,"Male",8,2,4,2,2,6,10,8,8,10,8,16,22,44,60,0,0,210,56
1999,"Female",8,0,0,4,4,6,0,0,6,10,4,18,20,18,56,0,0,154,56
1999,"Total",16,2,4,6,6,12,10,8,14,20,12,34,42,62,116,0,0,364,56
2000,"Male",6,2,2,8,8,8,4,14,16,20,14,42,30,52,90,0,0,316,56
2000,"Female",0,4,2,2,0,8,6,6,6,6,20,18,14,40,64,0,0,196,56
2000,"Total",6,6,4,10,8,16,10,20,22,26,34,60,44,92,154,0,0,512,56
2001,"Male",8,0,2,6,6,4,0,14,12,10,32,30,38,68,106,0,0,336,56
2001,"Female",0,0,4,4,2,6,4,0,2,18,18,26,20,34,46,0,0,184,56
2001,"Total",8,0,6,10,8,10,4,14,14,28,50,56,58,102,152,0,0,520,56
2002,"Male",0,6,2,2,8,2,2,10,14,2,14,20,46,58,90,0,0,276,56
2002,"Female",10,0,0,0,2,2,2,4,10,14,20,18,30,46,60,0,0,218,56
2002,"Total",10,6,2,2,10,4,4,14,24,16,34,38,76,104,150,0,0,494,56
2003,"Male",4,2,2,2,4,2,2,12,8,12,30,40,52,50,76,0,0,298,56
2003,"Female",6,0,0,0,2,8,4,4,8,12,22,20,34,44,62,0,0,226,56
2003,"Total",10,2,2,2,6,10,6,16,16,24,52,60,86,94,138,0,0,524,56
2004,"Male",4,0,2,0,4,0,6,16,10,10,10,34,30,54,74,0,0,254,56
2004,"Female",4,0,2,0,6,0,0,0,4,8,20,24,32,50,58,0,0,208,56
2004,"Total",8,0,4,0,10,0,6,16,14,18,30,58,62,104,132,0,0,462,56
2005,"Male",2,4,4,8,2,4,2,10,6,12,16,34,42,66,68,0,0,280,56
2005,"Female",6,4,0,4,0,2,2,4,0,10,18,8,30,30,58,0,0,176,56
2005,"Total",8,8,4,12,2,6,4,14,6,22,34,42,72,96,126,0,0,456,56
2006,"Male",4,4,4,2,4,10,0,6,12,16,16,28,36,64,76,0,0,282,56
2006,"Female",2,2,2,0,2,0,2,8,4,8,24,26,24,54,62,0,0,220,56
2006,"Total",6,6,6,2,6,10,2,14,16,24,40,54,60,118,138,0,0,502,56
2007,"Male",8,4,4,0,4,2,4,4,16,16,20,34,46,70,78,0,0,310,56
2007,"Female",4,0,0,10,2,4,4,6,8,4,12,30,42,28,68,0,0,222,56
2007,"Total",12,4,4,10,6,6,8,10,24,20,32,64,88,98,146,0,0,532,56
2008,"Male",6,0,2,2,8,2,4,10,4,22,18,38,40,60,90,0,0,306,56
2008,"Female",8,2,0,2,0,0,10,4,10,6,10,30,44,36,80,0,0,242,56
2008,"Total",14,2,2,4,8,2,14,14,14,28,28,68,84,96,170,0,0,548,56
2009,"Male",10,0,0,4,2,0,4,8,12,14,18,22,36,68,100,0,0,298,56
2009,"Female",2,2,0,2,0,4,4,4,6,18,20,26,40,38,46,0,0,212,56
2009,"Total",12,2,0,6,2,4,8,12,18,32,38,48,76,106,146,0,0,510,56
2010,"Male",4,0,0,4,0,6,2,6,10,16,26,28,44,70,82,0,0,298,56
2010,"Female",2,2,0,0,0,0,4,2,10,10,16,12,38,68,70,0,0,234,56
2010,"Total",6,2,0,4,0,6,6,8,20,26,42,40,82,138,152,0,0,532,56
2011,"Male",4,2,0,6,4,4,12,8,6,14,36,40,62,60,86,0,0,344,56
2011,"Female",10,0,0,0,2,8,4,0,6,4,14,30,32,50,74,0,0,234,56
2011,"Total",14,2,0,6,6,12,16,8,12,18,50,70,94,110,160,0,0,578,56
2012,"Male",2,0,0,2,0,4,2,4,8,10,8,18,62,86,106,0,0,312,56
2012,"Female",2,2,0,0,0,2,4,2,10,18,16,26,34,46,46,0,0,208,56
2012,"Total",4,2,0,2,0,6,6,6,18,28,24,44,96,132,152,0,0,520,56
2013,"Male",4,2,0,4,4,4,0,0,12,8,34,32,64,68,112,0,0,348,56
2013,"Female",6,0,2,4,0,0,0,0,2,8,14,24,44,40,72,0,0,216,56
2013,"Total",10,2,2,8,4,4,0,0,14,16,48,56,108,108,184,0,0,564,56
