"Year","Factor","0.4","5.9","10.14","15.19","20.24","25.29","30.34","35.39","40.44","45.49","50.54","55.59","60.64","65.69","70.74","75.79","80 and over","Total","Dep06"
1996,"Male",94,4,4,40,20,44,40,32,28,92,82,128,238,368,560,624,1134,3532,78
1996,"Female",82,4,8,22,8,14,24,24,34,68,66,98,122,238,378,512,1656,3358,78
1996,"Total",176,8,12,62,28,58,64,56,62,160,148,226,360,606,938,1136,2790,6890,78
1997,"Male",68,10,6,18,44,38,34,40,44,72,80,120,196,336,476,540,1132,3254,78
1997,"Female",76,2,4,6,12,22,16,22,22,40,66,104,160,250,318,506,1726,3352,78
1997,"Total",144,12,10,24,56,60,50,62,66,112,146,224,356,586,794,1046,2858,6606,78
1998,"Male",86,4,8,32,50,42,24,36,50,64,82,142,194,358,490,530,1222,3414,78
1998,"Female",58,2,8,20,14,12,34,24,44,38,80,100,126,220,340,540,1758,3418,78
1998,"Total",144,6,16,52,64,54,58,60,94,102,162,242,320,578,830,1070,2980,6832,78
1999,"Male",102,2,2,28,24,32,38,54,34,80,76,178,178,294,546,600,1234,3502,78
1999,"Female",66,2,6,10,14,10,20,22,32,46,52,92,118,226,366,482,1846,3410,78
1999,"Total",168,4,8,38,38,42,58,76,66,126,128,270,296,520,912,1082,3080,6912,78
2000,"Male",60,0,10,16,30,40,34,30,46,56,98,114,182,324,472,648,1230,3390,78
2000,"Female",66,4,6,4,12,26,16,24,20,70,64,80,138,168,322,490,1814,3324,78
2000,"Total",126,4,16,20,42,66,50,54,66,126,162,194,320,492,794,1138,3044,6714,78
2001,"Male",70,8,6,24,32,36,34,50,84,90,104,110,168,286,518,614,1272,3506,78
2001,"Female",54,6,2,8,16,10,12,20,28,44,58,78,138,214,282,514,2182,3666,78
2001,"Total",124,14,8,32,48,46,46,70,112,134,162,188,306,500,800,1128,3454,7172,78
2002,"Male",62,6,6,16,14,28,18,44,44,48,100,144,184,288,470,614,1296,3382,78
2002,"Female",70,4,2,8,14,8,22,20,28,26,70,116,148,160,352,556,2214,3818,78
2002,"Total",132,10,8,24,28,36,40,64,72,74,170,260,332,448,822,1170,3510,7200,78
2003,"Male",66,4,8,32,26,32,24,32,46,70,90,116,170,270,428,532,1320,3266,78
2003,"Female",76,2,0,8,6,4,20,26,46,50,66,72,134,186,318,426,2150,3590,78
2003,"Total",142,6,8,40,32,36,44,58,92,120,156,188,304,456,746,958,3470,6856,78
2004,"Male",64,0,8,20,30,16,22,30,62,54,76,120,150,252,388,616,1472,3380,78
2004,"Female",52,0,2,22,8,10,24,40,36,52,68,86,148,156,326,446,2176,3652,78
2004,"Total",116,0,10,42,38,26,46,70,98,106,144,206,298,408,714,1062,3648,7032,78
2005,"Male",72,0,4,24,26,22,26,36,50,66,90,156,200,258,416,556,1398,3400,78
2005,"Female",62,0,4,10,12,10,20,12,42,56,78,100,126,180,270,450,2222,3654,78
2005,"Total",134,0,8,34,38,32,46,48,92,122,168,256,326,438,686,1006,3620,7054,78
2006,"Male",92,2,0,12,22,32,18,26,40,64,100,176,178,272,366,544,1542,3486,78
2006,"Female",38,2,4,4,14,6,6,16,36,66,66,96,120,154,294,524,2410,3856,78
2006,"Total",130,4,4,16,36,38,24,42,76,130,166,272,298,426,660,1068,3952,7342,78
2007,"Male",66,8,12,20,26,14,30,40,40,42,88,150,178,260,396,542,1534,3446,78
2007,"Female",66,6,0,6,10,8,10,32,40,44,54,136,104,206,250,440,2138,3550,78
2007,"Total",132,14,12,26,36,22,40,72,80,86,142,286,282,466,646,982,3672,6996,78
2008,"Male",64,4,8,34,26,24,24,34,52,78,108,94,218,290,342,576,1616,3592,78
2008,"Female",54,2,4,16,12,8,12,14,18,42,68,92,132,178,282,388,2392,3714,78
2008,"Total",118,6,12,50,38,32,36,48,70,120,176,186,350,468,624,964,4008,7306,78
2009,"Male",90,0,0,18,26,12,32,18,38,74,82,100,206,274,304,520,1652,3446,78
2009,"Female",68,0,8,4,6,6,14,30,32,44,50,76,140,234,250,410,2196,3568,78
2009,"Total",158,0,8,22,32,18,46,48,70,118,132,176,346,508,554,930,3848,7014,78
2010,"Male",66,4,2,8,28,22,12,36,42,54,88,156,186,242,314,462,1636,3358,78
2010,"Female",68,4,4,4,0,16,16,22,32,46,70,96,132,176,246,404,2134,3470,78
2010,"Total",134,8,6,12,28,38,28,58,74,100,158,252,318,418,560,866,3770,6828,78
2011,"Male",82,0,2,22,36,26,14,10,58,48,100,164,180,292,330,464,1626,3454,78
2011,"Female",54,0,2,6,10,16,14,12,36,48,58,90,130,182,248,398,2406,3710,78
2011,"Total",136,0,4,28,46,42,28,22,94,96,158,254,310,474,578,862,4032,7164,78
2012,"Male",50,4,4,16,22,22,16,28,54,62,106,128,200,316,372,464,1786,3650,78
2012,"Female",40,0,0,8,6,6,12,18,44,52,94,88,100,170,266,386,2486,3776,78
2012,"Total",90,4,4,24,28,28,28,46,98,114,200,216,300,486,638,850,4272,7426,78
2013,"Male",78,0,2,10,24,12,18,36,50,60,122,142,178,256,358,450,1562,3358,78
2013,"Female",52,2,6,10,6,6,18,6,40,54,76,102,144,190,226,392,2198,3528,78
2013,"Total",130,2,8,20,30,18,36,42,90,114,198,244,322,446,584,842,3760,6886,78
