"Year","Factor","0.4","5.9","10.14","15.19","20.24","25.29","30.34","35.39","40.44","45.49","50.54","55.59","60.64","65.69","70.74","75.79","80 and over","Total","Dep06"
1996,"Male",51,6,2,9,23,27,32,32,16,41,44,62,89,136,178,0,0,748,910
1996,"Female",53,2,1,10,6,5,9,12,14,24,27,31,60,83,118,0,0,455,910
1996,"Total",104,8,3,19,29,32,41,44,30,65,71,93,149,219,296,0,0,1203,910
1997,"Male",58,3,2,13,27,23,19,28,24,43,62,59,100,157,176,0,0,794,910
1997,"Female",43,1,3,6,9,8,16,8,15,24,33,40,53,91,127,0,0,477,910
1997,"Total",101,4,5,19,36,31,35,36,39,67,95,99,153,248,303,0,0,1271,910
1998,"Male",69,3,5,13,20,15,21,36,30,44,43,68,75,120,167,0,0,729,910
1998,"Female",50,2,4,9,4,6,13,15,22,22,36,39,69,89,115,0,0,495,910
1998,"Total",119,5,9,22,24,21,34,51,52,66,79,107,144,209,282,0,0,1224,910
1999,"Male",61,2,5,14,15,22,17,27,32,30,56,62,84,147,177,0,0,751,910
1999,"Female",60,2,2,4,6,5,11,12,30,16,46,43,55,88,121,0,0,501,910
1999,"Total",121,4,7,18,21,27,28,39,62,46,102,105,139,235,298,0,0,1252,910
2000,"Male",68,5,10,14,10,21,23,21,44,71,89,99,140,252,327,0,0,1194,910
2000,"Female",70,4,1,8,8,9,8,15,31,42,55,83,100,126,223,0,0,783,910
2000,"Total",138,9,11,22,18,30,31,36,75,113,144,182,240,378,550,0,0,1977,910
2001,"Male",77,2,5,18,17,16,26,28,40,53,87,113,172,241,340,0,0,1235,910
2001,"Female",59,0,3,12,6,6,15,15,31,22,64,58,93,158,226,0,0,768,910
2001,"Total",136,2,8,30,23,22,41,43,71,75,151,171,265,399,566,0,0,2003,910
2002,"Male",78,3,2,11,21,21,23,30,38,61,90,112,180,220,305,0,0,1195,910
2002,"Female",77,3,0,8,2,6,17,17,20,41,42,88,113,164,218,0,0,816,910
2002,"Total",155,6,2,19,23,27,40,47,58,102,132,200,293,384,523,0,0,2011,910
2003,"Male",76,3,6,9,11,16,16,29,43,56,84,116,147,218,314,0,0,1144,910
2003,"Female",64,2,4,8,10,7,12,15,20,44,57,80,113,152,205,0,0,793,910
2003,"Total",140,5,10,17,21,23,28,44,63,100,141,196,260,370,519,0,0,1937,910
2004,"Male",84,5,4,20,14,10,15,35,30,65,84,129,151,239,271,0,0,1156,910
2004,"Female",74,5,1,3,2,5,8,16,17,47,60,88,97,152,211,0,0,786,910
2004,"Total",158,10,5,23,16,15,23,51,47,112,144,217,248,391,482,0,0,1942,910
2005,"Male",61,2,7,14,17,21,19,26,53,49,71,119,144,190,248,0,0,1041,910
2005,"Female",67,2,3,7,4,3,16,23,23,49,58,72,97,119,153,0,0,696,910
2005,"Total",128,4,10,21,21,24,35,49,76,98,129,191,241,309,401,0,0,1737,910
2006,"Male",104,1,3,16,17,19,23,23,38,49,82,108,149,195,289,0,0,1116,910
2006,"Female",71,1,1,6,6,6,11,17,27,54,55,98,90,144,189,0,0,776,910
2006,"Total",175,2,4,22,23,25,34,40,65,103,137,206,239,339,478,0,0,1892,910
2007,"Male",86,4,3,12,16,12,15,30,41,58,82,118,137,206,264,0,0,1084,910
2007,"Female",65,1,3,4,5,1,17,13,35,36,59,82,91,132,178,0,0,722,910
2007,"Total",151,5,6,16,21,13,32,43,76,94,141,200,228,338,442,0,0,1806,910
2008,"Male",74,4,3,16,28,21,23,32,38,61,83,124,176,205,268,0,0,1156,910
2008,"Female",78,3,1,3,7,10,8,26,29,35,56,76,122,149,204,0,0,807,910
2008,"Total",152,7,4,19,35,31,31,58,67,96,139,200,298,354,472,0,0,1963,910
2009,"Male",80,3,6,15,23,15,31,28,48,67,86,97,178,226,252,0,0,1155,910
2009,"Female",68,2,3,3,6,9,11,28,31,50,55,64,97,138,193,0,0,758,910
2009,"Total",148,5,9,18,29,24,42,56,79,117,141,161,275,364,445,0,0,1913,910
2010,"Male",84,2,3,17,23,9,23,30,47,58,80,115,173,241,256,0,0,1161,910
2010,"Female",68,0,3,7,9,7,13,18,38,48,42,67,112,135,177,0,0,744,910
2010,"Total",152,2,6,24,32,16,36,48,85,106,122,182,285,376,433,0,0,1905,910
2011,"Male",77,1,2,12,23,16,18,32,53,55,97,133,159,210,255,0,0,1143,910
2011,"Female",53,2,4,9,20,17,21,23,37,58,58,96,129,146,200,0,0,873,910
2011,"Total",130,3,6,21,43,33,39,55,90,113,155,229,288,356,455,0,0,2016,910
2012,"Male",99,3,6,13,26,21,23,20,35,75,86,134,179,235,244,0,0,1199,910
2012,"Female",71,3,2,11,13,10,14,10,30,49,56,66,107,150,202,0,0,794,910
2012,"Total",170,6,8,24,39,31,37,30,65,124,142,200,286,385,446,0,0,1993,910
2013,"Male",50,1,4,21,15,15,23,23,38,74,72,116,130,198,262,0,0,1042,910
2013,"Female",55,1,3,6,11,6,11,10,20,49,60,65,105,150,186,0,0,738,910
2013,"Total",105,2,7,27,26,21,34,33,58,123,132,181,235,348,448,0,0,1780,910
